1127,Mercedes-Benz,S-Class,Orange,1991
1502,Hummer,H2,Indigo,2003
1290,Mitsubishi,Eclipse,Puce,2010
1636,Saab,9-3,Violet,2007
1891,GMC,Jimmy,Crimson,2001
1217,Ford,Mustang,Green,1993
1530,Buick,Roadmaster,Khaki,1995
1584,GMC,Yukon XL 1500,Purple,2009
1411,BMW,Z4,Purple,2012
1428,Volkswagen,Jetta,Blue,2003
1771,Ford,E250,Mauv,2010
1673,Mercedes-Benz,S-Class,Teal,1984
1064,Pontiac,LeMans,Orange,1993
1164,Hyundai,Elantra,Yellow,2005
1937,Kia,Optima,Turquoise,2007
1946,Hummer,H2,Crimson,2007
1123,Volkswagen,Tiguan,Crimson,2011
1654,Ford,F250,Mauv,1995
1215,Dodge,Avenger,Yellow,1999
1715,Ferrari,599 GTB Fiorano,Purple,2009
1113,Chrysler,Town & Country,Blue,2012
1273,Lexus,ES,Khaki,1997
1758,Nissan,Sentra,Goldenrod,2009
1368,Saturn,VUE,Blue,2004
1257,Mercedes-Benz,SLR McLaren,Mauv,2007
1684,Mercedes-Benz,C-Class,Red,1997
1388,Dodge,Intrepid,Aquamarine,1997
1526,Chrysler,New Yorker,Crimson,1994
1825,Infiniti,G35,Orange,2008
1063,Chrysler,Concorde,Indigo,2000
1234,Infiniti,Q,Mauv,1997
1276,Chrysler,Cirrus,Pink,1999
1029,Chrysler,New Yorker,Indigo,1992
1574,Subaru,Impreza,Violet,2010
1712,Chevrolet,S10,Pink,2004
1418,Lotus,Esprit Turbo,Purple,1984
1892,Saab,9000,Pink,1992
1068,Infiniti,FX,Pink,2010
1338,Jensen,Interceptor,Blue,1966
1864,Audi,A8,Teal,1998
1295,Buick,Century,Fuscia,1985
1262,Volkswagen,Rabbit,Fuscia,2007
1507,Pontiac,Firebird,Purple,1993
1361,BMW,325,Indigo,2005
1659,Lincoln,Aviator,Crimson,2004
1728,Toyota,Solara,Fuscia,2005
1783,Pontiac,LeMans,Pink,1990
1032,Acura,SLX,Fuscia,1997
1416,Mercedes-Benz,M-Class,Red,2011
1460,Ford,E150,Purple,2007
1072,Dodge,Grand Caravan,Yellow,2001
1805,Subaru,SVX,Violet,1996
1320,Volvo,S80,Violet,1999
1609,Pontiac,Grand Am,Yellow,1993
1484,Citroën,CX,Aquamarine,1974
1932,Aston Martin,Rapide,Yellow,2012
1125,Mazda,Mazda5,Crimson,2009
1618,Dodge,Intrepid,Maroon,2003
1915,Mitsubishi,Endeavor,Violet,2007
1433,Hyundai,Sonata,Pink,2006
1289,Dodge,Ram 2500,Green,2009
1919,Lexus,ES,Purple,1997
1699,Volkswagen,New Beetle,Turquoise,2002
1084,Subaru,SVX,Puce,1997
1765,Infiniti,I,Red,2002
1991,Audi,A4,Violet,2009
1042,GMC,Sierra 1500,Orange,2004
1642,Toyota,RAV4,Maroon,2009
1151,GMC,Rally Wagon G3500,Maroon,1995
1169,Ford,E-Series,Indigo,2004
1599,Mercedes-Benz,SL-Class,Yellow,1990
1846,Chevrolet,Avalanche,Yellow,2007
1755,Audi,100,Mauv,1994
1204,Ford,F250,Fuscia,2000
1090,Mercury,Grand Marquis,Yellow,2004
1270,Mercedes-Benz,GL-Class,Puce,2010
1769,Lamborghini,Murciélago,Aquamarine,2006
1364,Mazda,MPV,Pink,2002
1136,Ford,Excursion,Red,2002
1609,Land Rover,Range Rover,Turquoise,1999
1439,Mazda,Miata MX-5,Orange,2006
1661,Suzuki,XL-7,Puce,2002
1911,Chevrolet,Express 3500,Crimson,2001
1967,Toyota,T100 Xtra,Turquoise,1997
1435,Toyota,Sienna,Khaki,1998
1259,GMC,Safari,Turquoise,1994
1055,Infiniti,G,Violet,1994
1692,Lotus,Elan,Green,1994
1051,Audi,Q5,Orange,2010
1693,GMC,Rally Wagon G3500,Blue,1995
1071,Pontiac,Grand Prix,Aquamarine,1998
1120,Ford,Probe,Teal,1989
1236,BMW,525,Khaki,2003
1378,Kia,Sephia,Blue,1994
1396,GMC,Suburban 1500,Maroon,1993
1698,Subaru,B9 Tribeca,Indigo,2007
1005,Volkswagen,R32,Crimson,2008
1143,Chevrolet,Prizm,Khaki,2002
1598,Mitsubishi,Challenger,Red,2004
1745,Chevrolet,Express 2500,Puce,2012
